OBJECTID;objektType;nveNetbasID;Plassering;nveNettnivaa;eier;eierOrgnr;navn;spenning_kV;longitude;latitude
54;Transformatorstasjon;57.SENTRUM;57 SENTRUM;;LINJA AS;;SENTRUM TRANSFORMATORSTASJON;132;6.164415289379976;62.472334357212596
730;Transformatorstasjon;;;1;STATNETT SF;962986633;Sogndal;;7.021815549218685;61.21842528183885
138;EL_Transformatorstasjon;;;2;SUNNFJORD ENERGI AS;916501420;STAKALDEFOSSEN;0.0;6.009903039813285;61.44560726319089
845;Transformatorstasjon;;;1;STATNETT SF;962986633;Steinsland;;5.976744566685103;60.92651827265657
39;Transformatorstasjon;STRA 132TRST;06 STRANDA;;LINJA AS;;STRANDA TRAFOSTASJON;132;6.932222963624968;62.318042556856966
1;EL_Transformatorstasjon;77864.0;NVE NetBAS;2;OKKEN KRAFT AS;919372362;STUVANE;;7.641754120807268;61.051396798768565
56;Transformatorstasjon;56.SULA;56 SULA TRANSFORMATORSTASJON;;LINJA AS;;SULA TRANSFORMATORSTASJON;132;6.239988007788183;62.4334388968693
32;Transformatorstasjon;SYKK 132TRST;02 SYKKYLVEN;;LINJA AS;;SYKKYLVEN TRANSFORMATORSTASJON;132;6.635525076298381;62.37436528705168
52;Transformatorstasjon;58 TAFJORD;58 TAFJORD;;LINJA AS;;TAFJORD TRANSFORMATORSTASJON;132;7.422513050055509;62.22707048465403
99;EL_Transformatorstasjon;;;2;SUNNFJORD ENERGI AS;916501420;TEFRE;0.0;5.896915385955059;61.46104212233407
957;Transformatorstasjon;;;2;BKK AS;976944801;Tefre;132.0;5.896972724155512;61.461264488391784
34;Transformatorstasjon;TOMG 66TRST;15 TOMASGÅRD;;SOGN OG FJORDANE ENERGIVERK AS;;TOMASGÅRD;66;6.54859731475834;61.98989320205822
35;Transformatorstasjon;TUSS 66TRST;08 TUSSA;;LINJA AS;;TUSSA TRAFOSTASJON;66;6.559586682249303;62.108752142770435
249;EL_Transformatorstasjon;81523.0;NVE NetBAS;2;LUSTER ENERGIVERK AS;933297292;UGULSVIK;;7.097512795854802;61.36441068902573
51;Transformatorstasjon;ULST 66TRST;10 ULSTEIN;;LINJA AS;;ULSTEIN TRAFOSTASJON;66;5.858084094910926;62.33908046629307
954;Transformatorstasjon;;;2;BKK AS;976944801;Vadheim;66.0;5.840368397028336;61.20922188499969
50;Transformatorstasjon;VIKB 66TRST;11 VIKEBYGDA;;LINJA AS;;VIKEBYGD TRAFOSTASJON;66;6.1287469010176885;62.143016141966314
43;Transformatorstasjon;VOLD 66TRST;12 VOLDA;;LINJA AS;;VOLDA TRAFOSTASJON;66;6.085080509004736;62.14597280936693
671;Transformatorstasjon;;;1;STATNETT SF;962986633;Øljusjøen;;8.084385370939998;61.003943342414374
53;Transformatorstasjon;XX ØRSKOG;ØRSKOG;;STATNETT;;ØRSKOG TRANSFORMATORSTASJON;420;6.866442215329866;62.473132554416544
33;Transformatorstasjon;ORST 132TRST;05 ØRSTA;;STATNETT;;ØRSTA TRAFOSTASJON;132;6.259725345423746;62.15739620946089
64;EL_Transformatorstasjon;79759.0;NVE NetBAS;2;LINJA AS;984882114;ØYRAVATNET;;5.319421768418139;61.459820678695074
49;Transformatorstasjon;AHEI 66TRST;09 ÅHEIM;;LINJA AS;;ÅHEIM TRAFOSTASJON;66;5.52099941043146;62.04134175271939
41;Transformatorstasjon;AMEL 66TRST;14 ÅMELA;;LINJA AS;;ÅMELA;66;5.847145850185175;62.018767666523914
26;Transformatorstasjon;DEGNEPOLLEN;DEGNEPOLLEN;;SOGN OG FJORDANE ENERGIVERK AS;;Deknepollen;66;5.148563885920917;61.925913002192914
